1;200;100;0;0
51;200;100;432,75;2,16375
52;200;100;7595,75;37,97875
76;200;60;145254;726,27
99;200;40;2486;12,43
100;200;80;13019,5;65,0975
101;200;60;731,25;3,65625
105;200;100;30428,25;152,14125
127;200;60;100329,75;501,64875
130;200;80;9236,75;46,18375
144;200;100;181220,5;906,1025
150;200;80;63849,5;319,2475
159;200;80;96369,5;481,8475
195;200;100;5631,5;28,1575
198;200;40;52123;260,615
200;200;100;76698,75;383,49375
225;200;80;248314,5;1241,5725
226;200;100;302132,75;1510,66375
262;200;100;4596;22,98
280;200;20;6362,5;31,8125
299;200;80;162747,25;813,73625
318;200;40;98436,25;492,18125
400;200;80;29953,75;149,76875
442;200;60;102598,25;512,99125
493;200;100;78144,5;390,7225
574;200;60;122428,5;612,1425
575;200;20;23274,5;116,3725
654;200;80;325093;1625,465
657;200;100;106674,25;533,37125
724;200;60;135312;676,56
1000000;10;10;0;0
